Ref,Val,Package,PosX,PosY,Rot,Side
"C82","10n","C_0201_0603Metric",-205.250000,84.402000,90.000000,bottom
"C82","10n","C_0201_0603Metric",-120.250000,84.402000,90.000000,bottom
"C82","10n","C_0201_0603Metric",-35.250000,84.402000,90.000000,bottom
"C83","100n","C_0201_0603Metric",-207.350000,84.402000,90.000000,bottom
"C83","100n","C_0201_0603Metric",-37.350000,84.402000,90.000000,bottom
"C83","100n","C_0201_0603Metric",-122.350000,84.402000,90.000000,bottom
"C84","10n","C_0201_0603Metric",-206.650000,84.402000,90.000000,bottom
"C84","10n","C_0201_0603Metric",-36.650000,84.402000,90.000000,bottom
"C84","10n","C_0201_0603Metric",-121.650000,84.402000,90.000000,bottom
"C85","1n","C_0201_0603Metric",-205.950000,84.402000,90.000000,bottom
"C85","1n","C_0201_0603Metric",-120.950000,84.402000,90.000000,bottom
"C85","1n","C_0201_0603Metric",-35.950000,84.402000,90.000000,bottom
"C88","1u","C0603",-117.700000,50.601999,180.000000,bottom
"C88","1u","C0603",-32.700000,50.601999,180.000000,bottom
"C88","1u","C0603",-202.700000,50.601999,180.000000,bottom
"C91","300p","C0603",-231.650000,59.627000,0.000000,bottom
"C91","300p","C0603",-61.650000,59.627000,0.000000,bottom
"C91","300p","C0603",-146.650000,59.627000,0.000000,bottom
"C92","100n","C0603",-59.400000,57.427001,-90.000000,bottom
"C92","100n","C0603",-229.400000,57.427001,-90.000000,bottom
"C92","100n","C0603",-144.400000,57.427001,-90.000000,bottom
"C93","10u","C0603",-231.650000,58.277000,0.000000,bottom
"C93","10u","C0603",-61.650000,58.277000,0.000000,bottom
"C93","10u","C0603",-146.650000,58.277000,0.000000,bottom
"C95","100n","C0603",-63.900000,10.202000,180.000000,bottom
"C95","100n","C0603",-233.900000,10.202000,180.000000,bottom
"C95","100n","C0603",-148.900000,10.202000,180.000000,bottom
"C96","100n","C0402",-146.150000,106.602000,180.000000,bottom
"C96","100n","C0402",-61.150000,106.602000,180.000000,bottom
"C96","100n","C0402",-231.150000,106.602000,180.000000,bottom
"C97","100n","C0402",-62.800000,111.602000,-90.000000,bottom
"C97","100n","C0402",-232.800000,111.602000,-90.000000,bottom
"C97","100n","C0402",-147.800000,111.602000,-90.000000,bottom
"C100","100n","C_0201_0603Metric",-38.700000,92.402000,90.000000,bottom
"C100","100n","C_0201_0603Metric",-123.700000,92.402000,90.000000,bottom
"C100","100n","C_0201_0603Metric",-208.700000,92.402000,90.000000,bottom
"C102","100n","C_0201_0603Metric",-122.100000,92.402000,90.000000,bottom
