Ref,Val,Package,PosX,PosY,Rot,Side
"U16","TPS7A1112PDRVT","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",-185.700000,42.402000,180.000000,top
"U17","TPS7A1125PDRVT","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",-185.700000,36.002000,180.000000,top
"U17","TPS7A1125PDRVT","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",-15.700000,36.002000,180.000000,top
"U17","TPS7A1125PDRVT","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",-100.700000,36.002000,180.000000,top
"U20","TPS7A1112PDRVT","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",-15.700000,49.002000,180.000000,top
"U20","TPS7A1112PDRVT","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",-185.700000,49.002000,180.000000,top
"U20","TPS7A1112PDRVT","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",-100.700000,49.002000,180.000000,top
"U21","AP3428/A","DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm",-118.427500,49.902000,180.000000,top
"U21","AP3428/A","DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm",-33.427500,49.902000,180.000000,top
"U21","AP3428/A","DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm",-203.427500,49.902000,180.000000,top
"U23","TLV62084ADSGR","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",-24.300000,33.632500,90.000000,top
"U23","TLV62084ADSGR","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",-194.300000,33.632500,90.000000,top
"U23","TLV62084ADSGR","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",-109.300000,33.632500,90.000000,top
"U24","74AHC1G02","SOT-353_SC-70-5",-125.850000,76.652000,0.000000,top
"U24","74AHC1G02","SOT-353_SC-70-5",-40.850000,76.652000,0.000000,top
"U24","74AHC1G02","SOT-353_SC-70-5",-210.850000,76.652000,0.000000,top
"X1","100MHz","AK3A-xxxMHz",-139.500000,85.202000,-90.000000,top
"X1","100MHz","AK3A-xxxMHz",-224.500000,85.202000,-90.000000,top
"X1","100MHz","AK3A-xxxMHz",-54.500000,85.202000,-90.000000,top
"X3","200MHz","AK2A-xxxMHz",-117.300000,73.502000,-45.000000,top
"X3","200MHz","AK2A-xxxMHz",-202.300000,73.502000,-45.000000,top
"X3","200MHz","AK2A-xxxMHz",-32.300000,73.502000,-45.000000,top
"X4","48MHz","SMD3225",-232.500000,72.202000,0.000000,top
"X4","48MHz","SMD3225",-62.500000,72.202000,0.000000,top
"X4","48MHz","SMD3225",-147.500000,72.202000,0.000000,top
