"Reference","Value","Tolerance","MFR","MPN","Footprint","Datasheet","Qty","SUPPLIER_OC","SUPPLIER_URL"
"J7","SCSI PHY Mezz","","Amphenol ICC (FCI)","10144518-101802LF","lethalbit-connectors:101445x-10x80xLF","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik_lite_0_80mm.pdf","1","609-5457-1-ND","https://www.digikey.com/short/rh8jztt0"
"L1","1u5","","Bourns Inc.","SRF1260-1R5Y","lethalbit-inductor:Bourns-SRF1260","https://www.bourns.com/docs/Product-Datasheets/SRF1260.pdf","1","SRF1260-1R5YDKR-ND","https://www.digikey.com/short/dhv05pj4"
"L2","2u2","","Abracon LLC","AOTA-B160808S2R2MT","rhais_rcl:L0603","https://abracon.com/datasheets/AOTA-B160808S.pdf","1","535-AOTA-B160808S2R2MTDKR-ND","https://www.digikey.com/short/tnvznwrp"
"L3","1u","","Vishay Dale","IHLP3232DZER1R0M11","lethalbit-inductor:L_Vishay_IHLP-3232","https://www.vishay.com/docs/34313/ihlp3232dz11.pdf","1","541-1348-6-ND","https://www.digikey.com/short/n53j9fdw"
"Q1","NTMFS5C442NT1G","","onsemi","NTMFS5C442NT1G","lethalbit-so:ONSemi_SO-8FL_488AA","https://www.onsemi.com/pdf/datasheet/ntmfs5c442n-d.pdf","1","NTMFS5C442NT1GOSDKR-ND","https://www.digikey.com/short/bp3m0j0d"
"Q2,Q3,Q4,Q5","NX6008NBKR","","Nexperia USA Inc.","NX6008NBKR","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/NX6008NBK.pdf","4","1727-NX6008NBKRDKR-ND","https://www.digikey.com/short/mr1bfdt4"
"Q6","PMPB20EN","","Nexperia USA Inc.","PMPB20EN,115","lethalbit-so:SOT1220-3","https://assets.nexperia.com/documents/data-sheet/PMPB20EN.pdf","1","1727-PMPB20EN,115DKR-ND","https://www.digikey.com/short/p2jcz71p"
"Q7","PMDPB58UPE,115","","Nexperia USA Inc.","PMDPB58UPE,115","lethalbit-so:SOT1118-3","https://assets.nexperia.com/documents/data-sheet/PMDPB58UPE.pdf","1","1727-1237-6-ND","https://www.digikey.com/short/h3bf51b3"
"Q8,Q9","DMN65D8L-7","","Diodes Incorporated","DMN65D8L-7","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/DMN65D8L.pdf","2","DMN65D8L-7DIDKR-ND","https://www.digikey.com/short/2ttj58b0"
"Q10","PFET","","Vishay Siliconix","SQJ951EP-T1_BE3","lethalbit-so:PowerPAK_SO-8L_Dual","https://www.vishay.com/docs/63658/sqj951ep.pdf","1","742-SQJ951EP-T1_BE3DKR-ND","https://www.digikey.com/short/jjp28qvf"
"R1,R21,R23,R27,R42","1k","±1% 1/10W","Vishay Dale","CRCW06031K00FKEA","rhais_rcl:R0603","https://www.vishay.com/docs/20035/dcrcwe3.pdf","5","541-1.00KHDKR-ND","https://www.digikey.com/short/dw9cq7z3"
"R2","80k6","±1% 1/16W","Vishay Dale","CRCW040280K6FKEDC","rhais_rcl:R0402","https://www.vishay.com/docs/28773/crcwce3.pdf","1","541-5091-6-ND","https://www.digikey.com/short/38bn4npb"
"R3","40k2","±1% 1/16W","Vishay Dale","CRCW040240K2FKEDC","rhais_rcl:R0402","https://www.vishay.com/docs/28773/crcwce3.pdf","1","541-4097-6-ND","https://www.digikey.com/short/3dp8b97f"
"R4,R9,R12,R17,R28,R32,R36,R40,R51,R54,R59,R60,R61,R62,R63,R64,R65,R67,R68,R69,R70","10k","±1% 1/10W","Vishay Dale","CRCW060310K0FKEA","rhais_rcl:R0603","https://www.vishay.com/docs/20035/dcrcwe3.pdf","21","541-10.0KHDKR-ND","https://www.digikey.com/short/478v2810"
