Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R14","10K","R0603_Array_Concave_4",-49.000000,75.700000,0.000000,bottom
"R17","10k","R0603",-45.950000,35.900000,180.000000,bottom
"R28","10k","R0603",-55.900000,81.600000,-90.000000,bottom
"R32","10k","R0603",-40.300000,3.000000,90.000000,bottom
"R35","10K","R0603_Array_Concave_4",-30.350001,9.799999,90.000000,bottom
"R36","10k","R0603",-11.000000,93.900000,-90.000000,bottom
"R37","4k7","R0603",-37.550000,68.750000,-90.000000,bottom
"R40","10k","R0603",-39.000000,3.000000,90.000000,bottom
"R41","1M","R0603",-72.200000,89.300000,-90.000000,bottom
"R43","150k","R0603",-37.200000,41.500001,180.000000,bottom
"R46","10K","R0603_Array_Concave_4",-61.700001,28.300000,0.000000,bottom
"R47","52R3","R0603",-63.900001,4.750001,180.000000,bottom
"R48","10K","R0603_Array_Concave_4",-58.165000,27.535000,0.000000,bottom
"R49","4k7","R0603",-51.200000,103.700000,180.000000,bottom
"R50","10K","R0603_Array_Concave_4",-63.900000,24.500000,0.000000,bottom
"R51","10k","R0603",-63.400000,93.200000,0.000000,bottom
"R52","50m","R0805",-57.400000,97.800000,-90.000000,bottom
"R53","50m","R0805",-63.800000,97.300000,-90.000000,bottom
"R56","39k2","R0603",-22.150000,26.580499,90.000000,bottom
"R58","4k7","R0603",-54.300000,103.700000,0.000000,bottom
"R61","10k","R0603",-66.500000,93.200000,0.000000,bottom
"R62","10k","R0603",-62.400000,88.500000,0.000000,bottom
"R63","10k","R0603",-62.400000,89.800000,0.000000,bottom
"R64","10k","R0603",-51.200000,101.200000,90.000000,bottom
"R65","10k","R0603",-47.150000,7.400000,0.000000,bottom
"R66","10K","R0603_Array_Concave_4",-56.800000,85.800000,180.000000,bottom
"R67","10k","R0603",-11.000000,84.900000,-90.000000,bottom
"R68","10k","R0603",-16.700000,93.500000,-90.000000,bottom
"R69","10k","R0603",-15.200000,84.400000,-90.000000,bottom
"R70","10k","R0603",-53.700000,83.200000,-90.000000,bottom
"R72","4k7","R0603",-45.300000,74.000000,-90.000000,bottom
"R73","4k7","R0603",-43.500000,75.100000,90.000000,bottom
"R75","4k7","R0603",-56.100000,89.600000,0.000000,bottom
"R76","4k7","R0603",-56.100000,92.200000,0.000000,bottom
"R77","4k7","R0603",-56.100000,88.300000,0.000000,bottom
"U7","SP3400-02UTG","UDFN-6L",-61.200000,59.050000,0.000000,bottom
"U18","IS66WVS4M8BLL","SOIC-8_3.9x4.9mm_P1.27mm",-40.900000,69.700000,90.000000,bottom
"U19","INA2180A1","WSON_8_2x2mm_1EP",-60.600000,97.800000,180.000000,bottom
"U22","MAX1118","SOT-23-8",-60.600000,104.000000,90.000000,bottom
"X2","13MHz","SMD2520",-46.300000,63.200000,-90.000000,bottom
